# 233 - Mots fréquents

|le secrétariat|s(ə)kʁetaʁja|секретарство
|mou|mu, mɔl|мягкий
|venger|vɑ̃ʒe|мстить
|détenteur|detɑ̃tœʁ, -ʁis|держатель
|basque|bask, -kɛz|баскский
|la soif|swaf|жажда
|la accumulation|akymylasjɔ̃|накопление
|autoritaire|ɔtɔʁitɛʁ|властный
|le essor|esɔʁ|взлёт
|obséder|ɔpsede|осаждать
|intolérable|ɛ̃tɔleʁabl|нестерпимый
|la rébellion|ʁebeljɔ̃|мятеж
|préventif|pʁevɑ̃tif, -v|превентивный
|la désignation|deziɲasjɔ̃|обозначение
|aimable|ɛmabl|любезный
|la conformité|kɔ̃fɔʁmite|соответствие
|le pantalon|pɑ̃talɔ̃|панатлоны
|anormal|anɔʁmal, -o|анормальный
|inhérent|ineʁɑ̃, -t|присущий
|réconcilier|ʁekɔ̃silje|примирять
