#deck:Français::Pluraux
#notetype:fr-plurals
#separator:Comma
#html:true
#columns:Word,Phonetic,WordPlural,PhoneticPlural,Translation
"le aïeul","ajœl","les aïeux","ajø","предок"
"le ail","aj","les aulx","o","чеснок"
"le animal","animal","les animaux","animo","животное"
"la eau","o","les eaux","o","вода"
"le émail","emal","les émaux","emo","эмаль"
"le éventail","evɑ̃taj","les éventails","evɑ̃taj","веер"
"le hôpital","ɔpital","les hôpitaux","opito","больница"
"le œil","œj","les yeux","jø","глаз"
"le os","ɔs","les os","ɔs","кость"
"la journal","ʒurnal","les journaux","ʒuʁno","газета"
"la voix","vwa","les voix","vwa","голос"
"le bail","baj","les baux","bo","аренда"
"le bal","bal","les bals","bal","бал"
"le bateau","bato","les bateaux","bato","лодка"
"le bijou","biʒu","les bijoux","biʒu","украшение"
"le bocal","bɔkal","les bocaux","bɔko","банка"
"le boeuf","bœf","les boeufs","bœf","говядина"
"le bras","bra","les bras","bʁa","рука"
"le caillou","kaju","les cailloux","kaju","камешек"
"le cal","kal","les cals","kal","мозоль"
"le canal","kanal","les canaux","kano","канал"
"le carnaval","kaʁnaval","les carnavals","kaʁnaval","карнавал"
"le chacal","ʃakal","les chacals","ʃakal","шакал"
"le château","ʃato","les châteaux","ʃato","замок"
"le cheval","ʃəval","les chevaux","ʃəvo","лошадь"
"le cheveu","ʃəvø","les cheveux","ʃəvø","волос"
"le chou","ʃu","les choux","ʃu","капуста"
"le ciel","sjɛl","les cieux","sjø","небо"
"le clou","klu","les clous","klu","гвоздь"
"le corail","kɔʁaj","les coraux","kɔʁo","коралл"
"le coup","ku","les coups","ku","удар"
"le cristal","kʁistal","les cristaux","kʁisto","кристалл"
"le détail","detaj","les détails","detaj","деталь"
"le dieu","djø","les dieux","djø","бог"
"le fermail","fɛʁmaj","les fermaux","fɛʁmo","застежка"
"le festival","fɛstival","les festivals","fɛstival","фестиваль"
"le feu","fø","les feux","fø","огонь"
"le fou","fu","les fous","fu","сумасшедший"
"le génie","ʒeni","les génies","ʒeni","гений"
"le genou","ʒənu","les genoux","ʒənu","колено"
"le glacial","glasjal","les glacials","glasjal","ледяной"
"le hibou","ibu","les hiboux","ibu","сова"
"le joujou","ʒuʒu","les joujoux","ʒuʒu","игрушка"
"le journal","ʒurnal","les journaux","ʒuʁno","газета"
"le joyau","ʒwajo","les joyaux","ʒwajo","драгоценность"
"le lambeau","lɑ̃bo","les lambeaux","lɑ̃bo","лоскут"
"le landau","lɑ̃do","les landaus","lɑ̃do","коляска"
"le lieu","ljø","les lieux","ljø","место"
"le mal","mal","les maux","mo","зло"
"le maréchal","maʁeʃal","les maréchaux","maʁeʃo","маршал"
"le matériau","mateʁjo","les matériaux","mateʁjo","материал"
"le monsieur","məsjø","les messieurs","mesjø","господин"
"le nez","ne","les nez","ne","нос"
"le noyau","nwajo","les noyaux","nwajo","ядро"
"le œil","œj","les yeux","jø","глаз"
"le oeuf","œf","les oeufs","ø","яйцо"
"le os","ɔs","les os","ɔs","кость"
"le ou","u","les ous","u","или"
"le portail","pɔʁtaj","les portails","pɔʁtaj","ворота"
"le pou","pu","les poux","pu","вошь"
"le procès","pʁɔsɛ","les procès","pʁɔsɛ","процесс"
"le rail","ʁaj","les rails","ʁaj","рельс"
"le récital","ʁesital","les récitals","ʁesital","концерт"
"le régal","ʁegal","les régals","ʁegal","угощение"
"le réseau","ʁezo","les réseaux","ʁezo","сеть"
"le roseau","ʁozo","les roseaux","ʁozo","тростник"
"le sarrau","saʁo","les sarraus","saʁo","халат"
"le sceau","so","les sceaux","so","печать"
"le signal","siɲal","les signaux","siɲo","сигнал"
"le soupirail","supiraj","les soupiraux","supiro","подвал"
"le tableau","tablo","les tableaux","tablo","картина"
"le taureau","toʁo","les taureaux","toʁo","бык"
"le tonneau","tɔno","les tonneaux","tɔno","бочка"
"le travail","tʁavaj","les travaux","tʁavo","работа"
"le travailleur","tʁavajœʁ","les travailleurs","tʁavajœʁ","работник"
"le trou","tʁu","les trous","tʁu","дыра"
"le trousseau","tʁuso","les trousseaux","tʁuso","связка"
"le tuyau","tɥijo","les tuyaux","tɥijo","труба"
"le val","val","les vaux","vo","долина"
"le vantail","vɑ̃taj","les vantaux","vɑ̃to","створка"
"le veto","veto","les vetos","veto","вето"
"le vieux","vjø","les vieux","vjø","старик"
"le vitrail","vitʁaj","les vitraux","vitʁo","витраж"
"le vœu","vø","les vœux","vø","желание"
