#deck:Poker::Pocket Winrate
#notetype:gm-pocket-winrate
#separator:Comma
#html:true
#tags:
#columns:Pair,Rate,Rank,Name
"AAp","86","1","American Airlines"
"KKp","75","2","Cowboys"
"AKs","69","3","Big Slick"
"QQp","69","4","Ladies"
"AKo","67","5","Big Slick"
"AQs","65","6","Big Chick"
"JJp","64","7","Hooks"
"TTp","61","8","Dimes"
"AQo","61","9","Big Chick"
"AJs","59","10","Ajax"
"99p","55","11","Wayne Gretzky"
"KQs","55","12",""
"88p","52","13","Snowmen"
"ATs","51","14",""
"AJo","49","15","Ajax"
"KJs","45","16",""
"QJs","44","17",""
"A8s","42","18","Dead Man's Hand"
"KTs","41","19",""
"A9s","41","20","Rounders Hand"
"JTs","40","21",""
"QTs","39","22",""
"KQo","39","23",""
"T9s","38","24",""
"ATo","34","25",""
"A7s","34","26",""
"A4s","31","27",""
"A5s","30","28",""
"A6s","30","29",""
"77p","29","30","Walking Sticks"
"J9s","28","31",""
"66p","26","32","Route 66"
"A3s","21","33",""
"55p","21","34","Nickels"
"KJo","21","35",""
"A2s","20","36",""
"K9s","20","37",""
"Q9s","19","38",""
"A9o","17","39","Rounders Hand"
"QJo","17","40",""
"A7o","10","41",""
"A8o","10","42","Dead Man's Hand"
"A6o","10","43",""
"98s","10","44",""
"J8s","10","45",""
"A4o","10","46",""
"K8s","10","47",""
"T8s","10","48",""
"A5o","9","49",""
"JTo","9","50",""
"QTo","9","51",""
"KTo","9","52",""
"A2o","9","54",""
"Q9o","9","53",""
"T9o","9","55",""
"K7s","9","56",""
"A3o","9","57",""
"J9o","8","59",""
"K6s","8","58",""
"T7s","8","60",""
"44p","8","61","Sailboats"
"K9o","8","62",""
"87s","8","63",""
"76s","7","64",""
"97s","6","65",""
"33p","5","66","Treys"
"Q5s","4","67",""
"K5s","4","68",""
"65s","4","70",""
"Q8s","4","69",""
"J8o","4","71",""
"22p","4","72","Ducks"
"K3s","4","73",""
"74s","4","78",""
"85s","4","77",""
"K4s","4","75",""
"T6s","4","74",""
"T8o","4","76",""
"87o","4","84",""
"95s","4","79",""
"98o","4","83",""
"J3s","4","82",""
"J7s","4","81",""
"Q7s","4","80",""
"53s","4","85",""
"54s","4","90",""
"64s","4","88",""
"75s","4","87",""
"86s","4","86",""
"K2s","4","89",""
"J5s","4","93",""
"Q6s","4","92",""
"Q8o","4","91",""
"97o","3","95",""
"K8o","3","94",""
"84s","3","97",""
"J4s","3","96",""
"96s","3","99",""
"T5s","3","98",""
"J6s","3","102",""
"K6o","3","100",""
"Q2s","3","101",""
"Q3s","3","103",""
"Q4s","3","104",""
"K7o","3","105",""
"63s","2","106",""
"73s","2","107",""
"43s","2","110",""
"K2o","2","108",""
"Q4o","2","109",""
"K3o","2","112",""
"K4o","2","111",""
"Q6o","2","113",""
"J2s","1","116",""
"Q5o","1","115",""
"Q7o","1","114",""
"K5o","1","117",""
"T3s","1","119",""
"T4s","1","118",""
"32s","1","120",""
"76o","1","122",""
"94s","1","121",""
"52s","1","123",""
"42s","1","125",""
"85o","1","130",""
"96o","1","129",""
"J2o","1","128",""
"J4o","1","127",""
"J6o","1","126",""
"T2s","1","124",""
"42o","0","150",""
"54o","0","149",""
"72o","0","139",""
"73o","0","148",""
"74o","0","138",""
"83o","0","147",""
"83s","0","146",""
"84o","0","137",""
"92o","0","136",""
"92s","0","143",""
"93o","0","145",""
"95o","0","144",""
"J3o","0","141",""
"J5o","0","140",""
"J7o","0","132",""
"Q3o","0","131",""
"T3o","0","135",""
"T4o","0","142",""
"T5o","0","134",""
"T7o","0","133",""
"32o","0","166",""
"43o","0","161",""
"52o","0","160",""
"53o","0","165",""
"62s","0","159",""
"65o","0","164",""
"72s","0","157",""
"75o","0","158",""
"82o","0","156",""
"82s","0","163",""
"86o","0","155",""
"93s","0","153",""
"94o","0","154",""
"Q2o","0","151",""
"T2o","0","162",""
"T6o","0","152",""
"62o","0","169",""
"63o","0","168",""
"64o","0","167",""
