# Глаго̀ли - движѐние

##### Пеша̀
|ѝдвам|ѝдваш ѝдвах ѝдвах|идти
|до̀йда|до̀йдеш до̀йдох до̀йдех|приходить

|вървя̀|вървѝш вървя̀х вървя̀х|идти ногами
|хо̀дя|хо̀диш хо̀дих хо̀дех|ходить

##### Ната̀м, Наса̀м
|ела̀||подойди, прийди
|ела̀те||подойдите, прийдите

|отѝвам|отѝваш отѝвах отѝвах|уходить
|отѝда|отѝдеш отѝдох отѝдех|уйти

|тръ̀гвам|тръ̀гваш тръ̀гвах тръ̀гвах|трогаться
|тръ̀гна|тръ̀гнеш тръ̀гнах тръ̀гнех|тронуться

|пристѝгам|пристѝгаш пристѝгах пристѝгах|прибывать
|пристѝгна|пристѝгнеш пристѝгнах пристѝгнех|прибыть

|обика̀лям|обика̀ляш обика̀лях обика̀лях|обходить
|обиколя̀|обиколѝш обиколѝх обиколя̀х|обойти

|връ̀щам|връ̀щаш връ̀щах връ̀щах|возвращаться
|въ̀рна|въ̀рнеш въ̀рнах въ̀рнех|вернуться

##### Наго̀ре, Надо̀лу
|ся̀дам|ся̀даш ся̀дах ся̀дах|садится
|сѐдна|сѐднеш сѐднах сѐднех|сесть

|ля̀гам|ля̀гаш ля̀гах ля̀гах|ложится
|лѐгна|лѐгнеш лѐгнах лѐгнех|лечь

|спу̀скам|спу̀скаш спу̀сках спу̀сках|спускаться
|спу̀сна|спу̀снеш спу̀снах спу̀снех|спустится

|слѝзам|слѝзаш слѝзах слѝзах|слезать
|сля̀за|сля̀зеш сля̀зох сля̀зех|слезть

|ста̀вам|ста̀ваш ста̀вах ста̀вах|вставать
|ста̀на|ста̀неш ста̀нах ста̀нех|встать

|вдѝгам|вдѝгаш вдѝгах вдѝгах|подниматься
|вдѝгна|вдѝгнеш вдѝгнах вдѝгнех|подняться

|възлѝзам|възлѝзаш възлѝзах възлѝзах|влизать
|възля̀за|възля̀зеш възля̀зох възля̀зех|влезть

##### Ра̀зни
|ка̀рам|ка̀раш ка̀рах ка̀рах|вести
|во̀дя|во̀диш во̀дих во̀дех|вести, водить
|во̀зя|во̀зиш во̀зих во̀зех|везти, возить
|бя̀гам|бя̀гаш бя̀гах бя̀гах|бежать, бегать
|пъту̀вам|пъту̀ваш пъту̀вах пъту̀вах|ехать, ездить
|мина̀вам|мина̀ваш мина̀вах мина̀вах|миновать
|пълзя̀|пълзѝш пълзя̀х пълзя̀х|ползти, ползать
|ла̀зя|ла̀зиш ла̀зих ла̀зех|лезть, лазить
|го̀ня|го̀ниш го̀них го̀нех|гнать, гонять
|бро̀дя|бро̀диш бро̀дих бро̀дех|брести, бродить
|летя̀|летѝш летя̀х летя̀х|лететь, летать
|плу̀вам|плу̀ваш плу̀вах плу̀вах|плыть, плавать

|бъ̀рзам|бъ̀рзаш бъ̀рзаx бъ̀рзаx|спешить
|ба̀вя|ба̀виш ба̀вих ба̀вех|медлить

|но̀ся|но̀сиш но̀сих но̀сех|нести, носить
|вла̀ча|вла̀чиш вла̀чиx вла̀чex|тащить, таскать

|търка̀лям|търка̀леш търка̀лях търка̀лях|катить
|търколя̀|търколѝх търколя̀х|прикатить
