# Глаго̀ли - информа̀ция

##### Зрѐние
|глѐдам|глѐдаш глѐдах глѐдах|смотреть
|вѝдя|вѝдиш вѝдях вѝдех|видеть
|забелѐжа|забелѐжиш забелѐзах забелѐжех|заметить, увидеть
|пока̀звам|пока̀зваш пока̀звах пока̀звах|показывать
|пока̀жа|пока̀жеш пока̀зах пока̀жех|показать
|посо̀чвам|посо̀чваш посо̀чвах посо̀чвах|указывать
|посо̀ча|посо̀чиш посо̀чих посо̀чех|указать

##### Слух
|гово̀ря|гово̀риш гово̀рих гово̀рех|говорить
|ка̀звам|ка̀зваш ка̀звах ка̀звах|рассказывать
|ка̀жа|ка̀жеш ка̀зах ка̀жех|рассказать
|слу̀шам|слу̀шаш слу̀шах слу̀шах|слушать
|чу̀вам|чу̀ваш чу̀вах чу̀вах|слушать
|чу̀я|чу̀еш чу̀х чу̀ех|услышать
|пѝтам|пѝташ пѝтах пѝтах|спрашивать
|запѝтам|запѝташ запѝтах запѝтах|спросить
|отгова̀рям|отгова̀реш отгова̀рех отгова̀рех|отвечать
|отгово̀ря|отгово̀риш отгово̀рих отгово̀рех|ответить
|вѝквам|вѝкваш вѝквах вѝквах|кричать
|вѝкна|вѝкнеш вѝкнах вѝкнех|крикнуть
|вѝкам|вѝкаш вѝках вѝках|вскрикнуть
|оба̀ждам|оба̀ждаш оба̀ждах оба̀ждах|вызывать, сообщать
|оба̀дя|оба̀диш оба̀дих  оба̀дех|вызвать, сообщить

##### Кинестѐтика
|доко̀свам|доко̀сваш доко̀сваx доко̀сваx|касаться
|доко̀сна|доко̀снеш доко̀снах доко̀снех|коснуться
|мирѝша|мирѝшеш мирѝсах мирѝшех|нюхать

##### Мѝслене
|зна̀я|зна̀еш зна̀ях зна̀ех|знать
|мѝсля|мѝслиш мѝслих мѝслeх|думать
|смя̀там|смя̀таш смя̀тах смя̀тах|смекать, считать
|смѐтна|смѐтнеш смѐтнах смѐтнех|смекнуть, посчитать
|по̀мня|по̀мниш по̀мниx по̀мнex|помнить
|запо̀мня|запо̀мниш запо̀мниx запо̀мнex|запомнить
|забра̀вям|забра̀вяш забра̀вяx забра̀вяx|забывать
|забра̀вя|забра̀виш забра̀виx забра̀вex|забыть

##### Чѐтене, Писмо̀
|чета̀|четѐш чѐтох чѐтях|читать
|прочета̀|прочетѐш прочето̀х прочетя̀х|прочитать
|пѝша|пѝшеш пѝсах пѝшех|писать
|напѝша|напѝшеш напѝсах напѝшех|написать

##### Попра̀вка
|доба̀вям|доба̀вяш доба̀вях доба̀вях|добавлять
|доба̀вя|доба̀виш доба̀вих доба̀вех|добавить
|па̀зя|па̀зиш па̀зих па̀зех|хранить
|запа̀звам|запа̀зваш запа̀звах запа̀звах|сохранять
|запа̀зя|запа̀зиш запа̀зих запа̀зех|сохранить
|изтрѝвам|изтрѝваш изтрѝвах изтрѝвах|удалять
|изтрѝя|изтрѝеш изтрѝx изтрѝex|удалить

##### Тъ̀рсене
|тъ̀рся|тъ̀рсиш тъ̀рсих тъ̀рсех|искать
|намѝрам|намѝраш намѝрах намѝрах|находить
|намѐря|намѐриш намѐрих  намѐрех|найти
|загу̀бвам|загу̀бваш загу̀бвах загу̀бвах|терять
|загу̀бя|загу̀биш загу̀бих загу̀бех|потерять
|гу̀бя|гу̀биш гу̀бих гу̀бех|терять
|пока̀нвам|пока̀нваш пока̀нвах пока̀нвах|приглашать
|пока̀ня|пока̀ниш пока̀них пока̀нех|пригласить
|ка̀ня|ка̀ниш ка̀них ка̀нех|пригласить
