###### Глаголы &nbsp;•&nbsp; Сильные

### Группы сильных глаголов ###

# Группа 1

---

### 1a:&emsp;%[m|ei] - %[m|ie] - %[m|ie]

|bleiben&emsp;blieb&emsp;geblieben|bleibt&emsp;•&emsp;ist|оставаться

|heißen&emsp;hieß&emsp;geheißen|heißt&emsp;•&emsp;hat|называться

|schreiben&emsp;schrieb&emsp;geschrieben|schreibt&emsp;•&emsp;hat|писать


|gedeihen&emsp;gedieh&emsp;gediehen|gedeiht&emsp;•&emsp;ist|расти, преуспевать

|leihen&emsp;lieh&emsp;geliehen|leiht&emsp;•&emsp;hat|одалживать

|meiden&emsp;mied&emsp;gemieden|meidet&emsp;•&emsp;hat|избегать

|preisen&emsp;pries&emsp;gepriesen|preist&emsp;•&emsp;hat|хвалить

|reiben&emsp;rieb&emsp;gerieben|reibt&emsp;•&emsp;hat|тереть

|scheiden&emsp;schied&emsp;geschieden|scheidet&emsp;•&emsp;hat / ist|разделять

|scheinen&emsp;schien&emsp;geschienen|scheint&emsp;•&emsp;hat|светить,&emsp;сиять

|schreien&emsp;schrie&emsp;geschrien|schreit&emsp;•&emsp;hat|кричать

|schweigen&emsp;schwieg&emsp;geschwiegen|schweigt&emsp;•&emsp;hat|молчать

|speien&emsp;spie&emsp;gespien|speit&emsp;•&emsp;hat|выплёвывать

|steigen&emsp;stieg&emsp;gestiegen|steigt&emsp;•&emsp;ist|подниматься

|treiben&emsp;trieb&emsp;getrieben|treibt&emsp;•&emsp;hat / ist|гнать

|verzeihen&emsp;verzieh&emsp;verziehen|verzeiht&emsp;•&emsp;hat|прощать

|weisen&emsp;wies&emsp;gewiesen|weist&emsp;•&emsp;hat|указывать

---

### 1b:&emsp;%[m|ei] - %[m|i]  - %[m|i]

|beißen&emsp;biß&emsp;gebissen|beißt&emsp;•&emsp;hat|кусать

|bleichen&emsp;blich&emsp;geblichen|bleicht&emsp;•&emsp;hat / ist|линять

|gleichen&emsp;glich&emsp;geglichen|gleicht&emsp;•&emsp;hat|выравнивать

|gleiten&emsp;glitt&emsp;geglitten|gleitet&emsp;•&emsp;ist|скользить

|greifen&emsp;griff&emsp;gegriffen|greift&emsp;•&emsp;hat|браться (за что-л.)

|kneifen&emsp;kniff&emsp;gekniffen|kneift&emsp;•&emsp;hat|щипать

|leiden&emsp;litt&emsp;gelitten|leidet&emsp;•&emsp;hat|страдать, терпеть

|pfeifen&emsp;pfiff&emsp;gepfiffen|pfeift&emsp;•&emsp;hat|свистеть

|reißen&emsp;riss&emsp;gerissen|reißt&emsp;•&emsp;hat / ist|рвать

|reiten&emsp;ritt&emsp;geritten|reitet&emsp;•&emsp;hat / ist|ездить верхом

|schleichen&emsp;schlich&emsp;geschlichen|schleicht&emsp;•&emsp;ist|красться

|schleifen&emsp;schliff&emsp;geschliffen|schleift&emsp;•&emsp;hat|точить

|schmeißen&emsp;schmiss&emsp;geschmissen|schmeißt&emsp;•&emsp;hat|кидать, бросать

|schreiten&emsp;schritt&emsp;geschritten|schreitet&emsp;•&emsp;ist|шагать

|streichen&emsp;strich&emsp;gestrichen|streicht&emsp;•&emsp;hat|гладить

|streiten&emsp;stritt&emsp;gestritten|streitet&emsp;•&emsp;hat|спорить

|weichen&emsp;wich&emsp;gewichen|weicht&emsp;•&emsp;ist|уклоняться, уворачиваться

---
