# A1 - 004 - die Substantive


|die Tante|der Tante&emsp;die Tanten|тетя

|die Mütze|der Mütze&emsp;die Mützen|шапка

|der Belgier|des Belgiers&emsp;die Belgier|бельгиец

|das Arbeitszimmer|des Arbeitszimmers&emsp;die Arbeitszimmer|кабинет

|die Doktorin|der Doktorin&emsp;die Doktorinnen|доктор (женщина)

|der Hafen|des Hafens&emsp;die Häfen|порт

|das Problem|des Problemes&emsp;die Probleme|проблема

|das Alter|des Alters&emsp;die Alter|возраст

|die Suppe|der Suppe&emsp;die Suppen|суп

|die Karte|der Karte&emsp;die Karten|карта
