# A1 - 010 - die Substantive


|die Puppe|der Puppe&emsp;die Puppen|кукла

|der Gast|des Gastes&emsp;die Gäste|гость

|die Vase|der Vase&emsp;die Vasen|ваза

|die Gesundheit|der Gesundheit&emsp;die Gesundheiten|здоровье

|das Badezimmer|des Badezimmers&emsp;die Badezimmer|ванная комната

|das Licht|des Lichtes&emsp;die Lichter|свет

|das Kino|des Kinos&emsp;die Kinos|кинотеатр

|der Arzt|des Arztes&emsp;die Ärzte|врач

|der Titel|des Titels&emsp;die Titel|заголовок

|der Ring|des Rings&emsp;die Ringe|кольцо
