# A1 - 011 - die Substantive


|das Studium|des Studiums&emsp;die Studien|учеба

|das Wohnzimmer|des Wohnzimmers&emsp;die Wohnzimmer|гостиная

|das Fenster|des Fensters&emsp;die Fenster|окно

|der Herd|des Herdes&emsp;die Herde|плита

|das Taxi|des Taxis&emsp;die Taxis|такси

|der Zaun|des Zaunes&emsp;die Zäune|забор

|die Ehefrau|der Ehefrau&emsp;die Ehefrauen|жена

|das Flugzeug|des Flugzeuges&emsp;die Flugzeuge|самолет

|der Meter|des Meters&emsp;die Meter|метр

|der Junge|des Jungen&emsp;die Jungen|мальчик
