# A1 - 014 - die Substantive


|das Tor|des Tores&emsp;die Tore|ворота

|das Getränk|des Getränkes&emsp;die Getränke|напиток

|die Gitarre|der Gitarre&emsp;die Gitarren|гитара

|das Krankenhaus|des Krankenhauses&emsp;die Krankenhäuser|больница

|der Bürgermeister|des Bürgermeisters&emsp;die Bürgermeister|мэр

|der Ton|des Tones&emsp;die Töne|звук

|der Empfänger|des Empfängers&emsp;die Empfänger|получатель

|die Traube|der Traube&emsp;die Trauben|виноград

|die Liste|der Liste&emsp;die Listen|список

|das Meer|des Meeres&emsp;die Meere|море
