# A1 - 020 - die Substantive


|das Museum|des Museums&emsp;die Museen|музей

|der Dampf|des Dampfes&emsp;die Dämpfe|пар

|der Ordner|des Ordners&emsp;die Ordner|папка

|der Garten|des Gartens&emsp;die Gärten|сад

|das Mädchen|des Mädchens&emsp;die Mädchen|девочка

|der Job|des Jobs&emsp;die Jobs|работа

|die Blume|der Blume&emsp;die Blumen|цветок

|das Fleisch|des Fleisches&emsp;die Fleisch|мясо

|die Toilette|der Toilette&emsp;die Toiletten|туалет

|das Glück|des Glückes&emsp;die Glücke|счастье
