# A1 - 021 - die Substantive


|der Briefkasten|des Briefkastens&emsp;die Briefkästen|почтовый ящик

|der Spiegel|des Spiegels&emsp;die Spiegel|зеркало

|das Lied|des Liedes&emsp;die Lieder|песня

|die Batterie|der Batterie&emsp;die Batterien|батарея

|das Tagebuch|des Tagebuches&emsp;die Tagebücher|дневник

|der König|des Königs&emsp;die Könige|король

|die Kohle|der Kohle&emsp;die Kohlen|уголь

|die Post|der Post&emsp;die Posten|почта

|das Büro|des Büros&emsp;die Büros|офис

|das Thema|des Themas&emsp;die Themen|тема
