# A2 - 041 - die Substantive


|die Fahrradtour|der Fahrradtour&emsp;die Fahrradtouren|велосипедная прогулка

|die Fahrgemeinschaft|der Fahrgemeinschaft&emsp;die Fahrgemeinschaften|поездка на автомобиле с попутчиками

|der Fall|des Falles&emsp;die Fälle|случай

|das Fernsehprogramm|des Fernsehprogrammes&emsp;die Fernsehprogramme|телепрограмма

|die Feuerwehr|der Feuerwehr&emsp;die Feuerwehren|пожарная охрана

|die Führung|der Führung&emsp;die Führungen|руководство

|das Gebiet|des Gebiets&emsp;die Gebiete|область

|die Gebühr|der Gebühr&emsp;die Gebühren|плата

|die Geburt|der Geburt&emsp;die Geburten|рождение

|die Geige|der Geige&emsp;die Geigen|скрипка
