# A2 - 045 - die Substantive


|die Kiste|der Kiste&emsp;die Kisten|ящик

|die Klammer|der Klammer&emsp;die Klammern|скоба

|der Kleiderschrank|des Kleiderschranks&emsp;die Kleiderschränke|шкаф для одежды

|die Kneipe|der Kneipe&emsp;die Kneipen|паб

|der Knopf|des Knopfes&emsp;die Knöpfe|кнопка

|der Koch|des Kochs&emsp;die Köche|повар

|die Kollegin|der Kollegin&emsp;die Kolleginnen|коллега (женщина)

|der Kollege|des Kollegen&emsp;die Kollegen|коллега

|der Kommentar|des Kommentars&emsp;die Kommentare|комментарий

|die Konfitüre|der Konfitüre&emsp;die Konfitüren|джем
