# A2 - 056 - die Substantive


|die Erholung|der Erholung&emsp;die Erholungen|отдых

|die Erinnerung|der Erinnerung&emsp;die Erinnerungen|воспоминание

|die Erhöhung|der Erhöhung&emsp;die Erhöhungen|повышение

|die Erkenntnis|der Erkenntnis&emsp;die Erkenntnisse|осознание

|die Fernbedienung|der Fernbedienung&emsp;die Fernbedienungen|пульт дистанционного управления

|das Flugticket|des Flugtickets&emsp;die Flugtickets|авиабилет

|das Formular|des Formulars&emsp;die Formulare|форма

|der Fotoapparat|des Fotoapparates&emsp;die Fotoapparate|фотоаппарат

|das Gedächtnis|des Gedächtnisses&emsp;die Gedächtnisse|память

|das Gefängnis|des Gefängnisses&emsp;die Gefängnisse|тюрьма
