# A2 - 061 - die Substantive


|der Kamm|des Kammes&emsp;die Kämme|расческа

|der Kanal|des Kanals&emsp;die Kanäle|канал

|die Kantine|der Kantine&emsp;die Kantinen|столовая

|die Kapelle|der Kapelle&emsp;die Kapellen|часовня

|der Kellner|des Kellners&emsp;die Kellner|официант

|die Kinder|der Kinder&emsp;die Kinder|дети

|die Kirche|der Kirche&emsp;die Kirchen|церковь

|der Kittel|des Kittels&emsp;die Kittel|халат

|der Klavier|des Klaviers&emsp;die Klaviere|пианино

|die Kleidung|der Kleidung&emsp;die Kleidungen|одежда
