# B1 - 074 - die Substantive


|die Anrede|der Anrede&emsp;die Anreden|обращение

|der Alleinstehende|des Alleinstehenden&emsp;die Alleinstehenden|одиночка

|die Methode|der Methode&emsp;die Methoden|метод

|die Partei|der Partei&emsp;die Parteien|партия

|die Apfel|des Apfels&emsp;die Äpfel|яблоко

|das Gebäck|des Gebäcks&emsp;die Gebäcke|выпечка

|das Fernsehen|des Fernsehens&emsp;die Fernseher|телевидение

|die Länge|der Länge&emsp;die Längen|длина

|die Nummer|der Nummer&emsp;die Nummern|номер

|der Nachmittag|des Nachmittags&emsp;die Nachmittage|вторая половина дня
