# B1 - 076 - die Substantive


|die Kraft|der Kraft&emsp;die Kräfte|сила

|die Einführung|der Einführung&emsp;die Einführungen|введение

|die Hygiene|der Hygiene&emsp;die Hygienen|гигиена

|das Alphabet|des Alphabets&emsp;die Alphabete|алфавит

|die Freude|der Freude&emsp;die Freuden|радость

|die Anstellung|der Anstellung&emsp;die Anstellungen|трудоустройство

|der Diesel|des Diesels&emsp;die Diesels|дизель

|das Mittel|des Mittels&emsp;die Mittel|средство

|die Kommunikation|der Kommunikation&emsp;die Kommunikationen|коммуникация

|die Nation|der Nation&emsp;die Nationen|нация
