# B2 - 082 - die Substantive


|die Forderung|der Forderung&emsp;die Forderungen|требование

|die Bedrohung|der Bedrohung&emsp;die Bedrohungen|угроза

|die Versicherung|der Versicherung&emsp;die Versicherungen|страхование

|die Zufriedenheit|der Zufriedenheit&emsp;die Zufriedenheiten|удовлетворение

|die Veröffentlichung|der Veröffentlichung&emsp;die Veröffentlichungen|публикация

|die Kritik|der Kritik&emsp;die Kritiken|критика

|die Anpassung|der Anpassung&emsp;die Anpassungen|адаптация

|die Behörde|der Behörde&emsp;die Behörden|учреждение

|die Verwaltung|der Verwaltung&emsp;die Verwaltungen|управление

|die Umwelt|der Umwelt&emsp;die Umwelten|окружающая среда
