# B2 - 084 - die Substantive


|der Mangel|des Mangels&emsp;die Mängel|недостаток

|das Verfahren|des Verfahrens&emsp;die Verfahren|процессуальный порядок

|die Frustration|der Frustration&emsp;die Frustrationen|разочарование

|die Steigerung|der Steigerung&emsp;die Steigerungen|увеличение

|der Zugriff|des Zugriffs&emsp;die Zugriffe|доступ

|das Prinzip|des Prinzips&emsp;die Prinzipien|принцип

|die Forschung|der Forschung&emsp;die Forschungen|исследование

|die Genehmigung|der Genehmigung&emsp;die Genehmigungen|разрешение

|die Hintergrund|des Hintergrunds&emsp;die Hintergründe|фон

|die Befugnis|der Befugnis&emsp;die Befugnisse|полномочие
