# B2 - 091 - die Substantive


|die Tendenz|der Tendenz&emsp;die Tendenzen|тенденция

|der Schwerpunkt|des Schwerpunkts&emsp;die Schwerpunkte|основной пункт

|der Gebrauch|des Gebrauchs&emsp;die Gebräuche|использование

|die Anwendung|der Anwendung&emsp;die Anwendungen|применение

|die Behauptung|der Behauptung&emsp;die Behauptungen|утверждение

|die Lage|der Lage&emsp;die Lagen|положение

|das Modell|des Modells&emsp;die Modelle|модель

|die Perspektive|der Perspektive&emsp;die Perspektiven|перспектива

|die Auffassung|der Auffassung&emsp;die Auffassungen|восприятие

|die Entwicklung|der Entwicklung&emsp;die Entwicklungen|развитие
