# C2 - 117 - die Substantive


|die Abwertung|der Abwertung&emsp;die Abwertungen|обесценивание

|die Artikulierung|der Artikulierung&emsp;die Artikulierungen|артикуляция

|die Wahrheit|der Wahrheit&emsp;die Wahrheiten|истина

|die Gelassenheit|der Gelassenheit&emsp;die Gelassenheiten|невозмутимость

|die Bewilligung|der Bewilligung&emsp;die Bewilligungen|разрешение

|die Einforderung|der Einforderung&emsp;die Einforderungen|взыскание

|die Anerkennung|der Anerkennung&emsp;die Anerkennungen|признание

|die Annäherung|der Annäherung&emsp;die Annäherungen|приближение

|die Ausstrahlung|der Ausstrahlung&emsp;die Ausstrahlungen|излучение

|die Absonderung|der Absonderung&emsp;die Absonderungen|выделение
