# C2 - 122 - die Substantive


|die Abfassung|der Abfassung&emsp;die Abfassungen|составление

|die Befürwortung|der Befürwortung&emsp;die Befürwortungen|поддержка

|die Allegorie|der Allegorie&emsp;die Allegorien|аллегория

|die Realität|der Realität&emsp;die Realitäten|реальность

|die Einmündung|der Einmündung&emsp;die Einmündungen|впадение

|die Achtsamkeit|der Achtsamkeit&emsp;die Achtsamkeiten|внимательность

|die Abgelegenheit|der Abgelegenheit&emsp;die Abgelegenheit|отдаленность

|die Begebenheit|der Begebenheit&emsp;die Begebenheiten|событие

|die Anstalt|der Anstalt&emsp;die Anstalten|учреждение

|die Gutgläubigkeit|der Gutgläubigkeit&emsp;die Gutgläubigkeiten|доверчивость
