# 003 - Frequent Words

|into|ˈɪntʊ|в
|like|laɪk|похожий, как, подобно, любить, нравиться
|if|ɪf|если
|were|wə|были, прош. врем. мн. ч. гл. to be (с we, you, they)
|then|ðen|тогда, затем
|an|æn|артикль неопредел.
|come|kʌm|(came [keɪm], come) приходить, приезжать, случаться
|think|θɪŋk|(thought [θɔ:t], thought) думать, считать, полагать
|so|səʊ|так, тоже, также
|down|daʊn|вниз, внизу, вниз по, вдоль по
|your|jɔ:|твой, ваш
|them|ðem|их, им
|would|wʊd|вспом. гл., как модальный
|about|əˈbaʊt|кругом, вокруг, около, о, об, относительно
|man|mæn|(мн. ч. men) человек, мужчина
|take|teɪk|(took [tuk], taken [teɪkn]) брать, доставлять, принимать
|just|ʤʌst|только что
|by|baɪ|у, около
|am|əm|æm] 1-е л. ед.ч. наст. врем. гл. to be
|now|naʊ|теперь, сейчас
|over|ˈəʊvə|над, свыше
|make|meɪk|(made [meɪd], made) делать, производить, совершать
|been|bi:n|прич. пр. вр. гл. to be
|or|ɔ:|или
|time|taɪm|время, раз
