# 004 - Frequent Words

|when|wen|когда
|hand|hænd|рука
|who|hu:|кто, который
|want|wɒnt|хотеть
|here|hɪə|здесь, тут
|tell|tel|(told [təʊld], told) говорить
|off|ɒf|с, от
|right|raɪt|правый, верно
|their|ðeə|их
|turn|tɜ:n|поворачивать(ся)
|two|tu:|два
|through|θru:|через, сквозь
|eye|aɪ|глаз, взгляд
|head|hed|голова
|other|ˈʌðə|другой, иной, еще, другой, другие
|how|haʊ|как
|some|sʌm|несколько
|more|mɔ:|больше, более
|around|əˈraʊnd|кругом, вокруг, поблизости, вокруг, по
|door|dɔ:|дверь
|room|ru:m|комната
|face|feɪs|лицо
|day|deɪ|день, сутки
|where|weə|где, куда
|way|weɪ|путь, дорога
