# 005 - Frequent Words

|night|naɪt|ночь, вечер
|well|wel|хорошо
|thing|θɪŋ|вещь, предмет
|open|ˈəʊpn|открывать(ся)
|away|əˈweɪ|далеко, прочь
|give|ɡɪv|(gave [geɪv], given [gɪvn]) давать
|only|ˈəʊnlɪ|только
|something|ˈsʌmθɪŋ|что-то, что-нибудь, примерно, около
|ask|ɑ:sk|спрашивать
|move|mu:v|двигать(ся)
|stand|stænd|(stood [stud], stood) стоять, ставить, терпеть, стойка
|good|gʊd|хороший, добро
|find|faɪnd|(found [faʊnd], found) находить, обнаруживать
|again|əˈɡen|опять, снова
|little|ˈlɪtl|маленький
|try|traɪ|пытаться, пробовать
|too|tu:|также, слишком
|still|stɪl|тихий, все еще
|hear|hɪə|(heard [hɜ:d], heard) слышать, слушать
|walk|wɔ:k|ходьба, ходить
|before|bɪˈfɔ:|перед, раньше
|leave|li:v|(left, left) покидать
|sit|sɪt|(sat [sæt], sat) сидеть
|let|let|(let, let) позволять
|long|lɒŋ|длинный, долго
