# 006 - Frequent Words

|call|kɔ:l|призыв, звать
|feel|fi:l|(felt, felt) чувствовать
|close|kləʊs|близкий, тесный, близко, закрывать(ся)
|very|ˈverɪ|очень
|why|waɪ|почему
|which|wɪʧ|который, что
|car|kɑ:|автомобиль, машина
|any|ˈenɪ|какой-нибудь
|hold|həʊld|(held, held) держать, владеть, вмещать
|work|wɜ:k|работа, работать
|run|rʌn|(ran [ræn], run) бежать
|never|ˈnevə|никогда
|start|stɑ:t|начало, начинать(ся)
|even|ˈi:vn|даже, ровно
|light|laɪt|свет, (lit, lighted, lit, lighted [ˈlaɪtɪd]) освещать(ся)
|than|ðæn|чем, нежели
|after|ˈɑ:ftə|после, через, потом
|put|pʊt|(put, put) положить
|yes|jes|да
|stop|stɒp|остановка, останавливать(ся)
|old|əʊld|старый
|watch|wɒʧ|смотреть, следить, наблюдение, часы
|first|fɜ:st|первый, сначала
|may|meɪ|(прош. вр. might) мочь и др., май (месяц)
|talk|tɔ:k|разговор,говорить
