# 007 - Frequent Words

|another|əˈnʌðə|другой
|cut|kʌt|(cut, cut) резать
|mean|mi:n|(meant, meant [ment]) значить, подразумевать
|pull|pʊl|тянуть, тащить
|behind|bɪˈhaɪnd|за, сзади, позади
|smile|smaɪl|улыбка, улыбаться
|our|aʊə|наш
|toward|təˈwɔ:d|к
|much|mʌʧ|много, много
|its|ɪts|его, её (о предм.)
|house|haʊs|дом
|keep|ki:p|(kept, kept) держать
|place|pleɪs|место,помещать
|begin|bɪˈɡɪn|(began [bɪˈgæn], begun [bɪˈgʌn]) начинать
|nothing|ˈnʌθɪŋ|ничего
|year|jɪə|год
|woman|ˈwʊmən|(мн. ч. women [ˈwɪmɪn]) женщина
|side|saɪd|сторона
|because|bɪˈkɒz|потому что
|three|θri:|три
|seem|si:m|казаться
|wait|weɪt|ждать
|need|ni:d|нуждаться
|moment|ˈməʊmnt|мгновение, момент
|himself|hɪmˈself|себя, сам
