# 008 - Frequent Words

|stare|steə|уставиться (на)
|arm|ɑ:m|рука, ~s оружие
|use|ju:z|употредлять, [ju:s] применение, польза
|voice|vɔɪs|голос
|last|lɑ:st|последний
|late|leɪt|поздний, поздно
|across|əˈkrɒs|через, сквозь, поперек
|sure|ʃɔ:|уверенный, конечно
|front|frʌnt|передний
|sound|saʊnd|звук, звучать
|big|bɪɡ|большой
|really|ˈrɪəlɪ|действительно
|name|neɪm|имя, название
|should|ʃʊd|должен, следует
|new|nju:|новый
|anything|ˈenɪθɪŋ|что-нибудь, что угодно
|against|əˈɡenst|против
|guy|ɡaɪ|парень
|kill|kɪl|убивать
|point|pɔɪnt|острие, точка, пункт, смысл, указывать на
|small|smɔ:l|маленький
|happen|ˈhæpn|случаться
|wall|wɔ:l|стена
|black|blæk|черный
|step|step|шаг, шагать
