# 009 - Frequent Words

|window|ˈwɪndəʊ|окно
|life|laɪf|жизнь
|maybe|ˈmeɪbi:|может быть
|fall|fɔ:l|(fell, fallen [ˈfɔ:ln]) падать, осень (амер.)
|own|əʊn|свой, владеть
|far|fɑ:|дальний, далеко
|under|ˈʌndə|под, ниже
|boy|bɔɪ|мальчик, парень
|end|end|конец, кончать(ся)
|those|ðəʊz|те
|reach|ri:ʧ|достигать
|while|waɪl|в то время как
|floor|flɔ:|пол, этаж
|street|stri:t|улица
|help|help|помощь,помогать
|girl|ɡɜ:l|девочка, девушка
|next|nekst|следующий, будущий, потом, затем, рядом
|few|fju:|немного, a ~ несколько
|white|waɪt|белый
|must|mʌst|должен, обязан
|feet|fi:t|(мн. ч. от foot) ноги
|table|ˈteɪbl|стол
|these|ði:z|эти
|show|ʃəʊ|(showed [ˈʃəʊd], shown [ʃəʊn] , редк. showed) показывать
|OK|əʊˈkeɪ|хорошо!, ладно!, есть!
