# 011 - Frequent Words

|love|lʌv|любовь, любить
|pick|pɪk|собирать, выбирать
|home|həʊm|дом
|without|wɪðˈaʊt|без
|win|wɪn|(won, won [wʌn]) выиграть
|once|wʌns|однажды
|word|wɜ:d|слово
|better|ˈbetə|a, лучше
|every|ˈevrɪ|каждый
|god|ɡɒd|бог
|build|bɪld|(built, built) строить, building также здание
|until|ənˈtɪl|до тех пор пока
|beat|bi:t|(beat, beaten [bi:tn]) бить
|course|kɔ:s|курс, of course- конечно
|lot|lɒt|жребий, судьба, a lot of, lots of –много, масса
|drive|draɪv|(drove [drəʊv], driven [ˈdrɪvn]) ехать, управлять
|bring|brɪŋ|(brought, brought [brɔ:t]) приносить, приводить
|along|əˈlɒŋ|по, вперед
|five|faɪv|пять
|hard|hɑ:d|твердый, трудный, сильно, упорно
|air|eə|воздух, воздушный
|continue|kənˈtɪnju:|продолжать(ся)
|most|məʊst|большинство, наибольший, наиболее
|pass|pɑ:s|проходить, проезжать, выдержать (экзамен), пропуск
|always|ˈɔ:lweɪz|всегда
