# 012 - Frequent Words

|kid|kɪd|ребенок, малыш, подшучивать, обманывать
|believe|bɪˈli:v|верить
|half|hɑ:f|половина
|line|laɪn|линия, проводить линии, выстраивать(ся) в ряд
|high|haɪ|высокий, высший, высоко
|set|set|(set, set) ставить, помещать, комплект, набор
|read|ri:d|(read [red], read [red]) читать
|world|wɜ:ld|мир, вселенная
|hour|ˈaʊə|час
|office|ˈɒfɪs|контора
|play|pleɪ|игра, играть
|young|jʌŋ|молодой, юный
|answer|ˈɑ:nsə|ответ, отвечать
|shoot|ʃu:t|(shot, shot [ʃɒt]) стрелять
|dark|dɑ:k|темнота, темный
|laugh|lɑ:f|смех, смеяться
|bed|bed|кровать, постель
|thank|θæŋk|благодарить
|remember|rɪˈmembə|помнить, вспоминать
|drop|drɒp|капля, капать
|friend|frend|друг, подруга
|though|ðəʊ|однако, cj-хотя
|glass|ɡlɑ:s|стекло, стакан
|hair|heə|волос, волосы
|hell|hel|ад, преисподняя
