# 019 - Frequent Words

|notice|ˈnəʊtɪs|извещение, внимание, обращать внимание
|fine|faɪn|прекрасный, ясный
|quite|kwaɪt|вполне, совсем
|power|ˈpaʊə|сила, энергия
|fact|fækt|факт
|pretty|ˈprɪtɪ|хорошенький
|week|wi:k|неделя
|nice|naɪs|хороший, милый
|lock|lɒk|замок, запирать
|story|ˈstɔ:rɪ|повесть, рассказ
|dog|dɒɡ|собака
|least|li:st|наименьший, наименее, n: the ~ самое меньшее
|empty|ˈem(p)tɪ|пустой
|everyone|ˈevrɪwʌn|proкаждый
|wave|weɪv|волна, взмах (рукой), махать (рукой), развеваться
|several|ˈsevrl|несколько
|silence|ˈsaɪləns|молчание
|short|ʃɔ:t|короткий
|cold|kəʊld|холодный
|problem|ˈprɒbləm|проблема
|fucking|ˈfʌkɪŋ|чертов, долбаный, траханный и т.п.
|cop|kɒp|полицейский
|thousand|ˈθaʊznd|тысяча
|approach|əˈprəʊʧ|приближение, приближаться (к)
|realize|ˈrɪəlaɪz|представлять себе, понимать, осознавать
