# 020 - Frequent Words

|rock|rɒk|камень, скала, качать(ся)
|piece|pi:s|кусок, штука
|wind|wɪnd|ветер, запах, [waɪnd] (wound, wound [waʊnd]) виться
|box|bɒks|коробка, ящик
|either|ˈaɪðə|любой (из двух), также (при отриц.)
|sort|sɔ:t|сорт, род, вид
|kiss|kɪs|поцелуй, целовать(ся)
|edge|eʤ|острие, лезвие, край, кромка, точить, окаймлять
|interest|ˈɪntrɪst|интерес, (за)интересовать
|surprise|səˈpraɪz|удивление, сюрприз, удивлять
|bit|bɪt|кусочек, a ~ немного
|forget|fəˈɡet|(forgot [fəˈgɒt], forgotten fə'gɒtn]) забывать, не помнить
|stick|stɪk|(stuck, stuck [stʌk]) втыкать, прикалывать, липнуть, палка
|heart|hɑ:t|сердце
|finish|ˈfɪnɪʃ|окончание, заканчивать(ся), кончать(ся)
|fuck|fʌk|типа: к черту!, (траханье, трахать)
|grow|ɡrəʊ|(grew [gru:], grown [grəʊn]) расти, увеличиваться
|ago|əˈɡəʊ|тому назад
|bag|bæɡ|мешок, сумка
|sense|sens|чувство, ощущение, чувствовать, осознавать
|picture|ˈpɪkʧə|картина
|ready|ˈredɪ|готовый
|chance|ʧɑ:ns|случай, шанс
|worry|ˈwʌrɪ|беспокоить(ся
|ahead|əˈhed|вперед, впереди
