# 022 - Frequent Words

|expect|ɪkˈspekt|ожидать
|neck|nek|шея, горлышко(бут.)
|careful|ˈkeəfʊl|осторожный, внимательный
|lip|lɪp|губа
|school|sku:l|школа
|hide|haɪd|(hid, hidden [hɪdn]) прятать(ся), скрывать(ся), шкура
|deal|di:l|(некоторое) количество, сделка, соглашение
|whisper|ˈwɪspə|шепот, шептать
|space|speɪs|пространство, место, расстояние, космос
|herself|hɜ:ˈself|себя, сама
|baby|ˈbeɪbɪ|ребенок, малыш
|climb|klaɪm|подниматься(на)
|easy|ˈi:zɪ|легкий, легко
|plan|plæn|план, планировать
|yourself|jɔ:ˈself|себя, сам
|trouble|ˈtrʌbl|заботы, беспокойство, беспокоить(ся)
|slide|slaɪd|(slid, slid) скользить, поскользнуться, скольжение
|thirty|ˈθɜ:tɪ|тридцать
|train|treɪn|поезд, воспитывать, тренировать(ся)
|low|ləʊ|низкий, низко
|key|ki:|ключ
|different|ˈdɪfrnt|различный
|swing|swɪŋ|(swung, swung [swʌŋ]) качать(ся, колебание, размах
|coffee|ˈkɒfɪ|кофе
|radio|ˈreɪdɪəʊ|радио
