# 024 - Frequent Words

|truck|trʌk|грузовик
|shirt|ʃɜ:t|рубашка (мужская)
|remain|rɪˈmeɪn|оставаться
|whatever|wɒtˈevə|любой, все, что, (в отриц. предл.) вообще не
|sky|skaɪ|небо
|suit|su:t|удовлетворять требованиям, годиться, костюм
|hot|hɒt|горячий, жаркий
|boat|bəʊt|лодка, судно
|ride|raɪd|(rode [rəʊd], ridden [rɪdn]) ехать, поездка
|fear|fɪə|страх, бояться
|pain|peɪn|боль, страдание
|note|nəʊt|заметка, записка, банкнота, отмечать, замечать
|sight|saɪt|зрение, вид, взгляд
|wish|wɪʃ|желание, желать
|slip|slɪp|скольжение, ошибка, скользить, поскользнуться
|hall|hɔ:l|зал, передняя, холл
|actually|ˈæktjʊəlɪ|фактически, на самом деле
|group|ɡru:p|группа
|learn|lɜ:n|(learnt, learnt [lɜ:nt]) учить(ся), изучать, узнавать
|race|reɪs|раса, род, гонки, мчаться, гнать
|dollar|ˈdɒlə|доллар
|true|tru:|правдивый, верный
|children|ˈʧɪldrən|(мн. ч. от child) дети
|shot|ʃɒt|выстрел
|afraid|əˈfreɪd|испуганный
