# 027 - Frequent Words

|earth|ɜ:θ|земля, почва
|grey|ɡreɪ|серый, седой
|snap|snæp|треск, треснуть
|war|wɔ:|война
|within|wɪðˈɪn|в, внутри
|music|ˈmju:zɪk|музыка
|skin|skɪn|кожа, шкура
|sea|si:|море
|cigarette|sɪɡəˈret|сигарета
|lower|ˈləʊə|нижний, спускать(ся), понижать(ся)
|attention|əˈtenʃn|внимание
|direction|dɪˈrekʃn|направление
|ice|aɪs|лед
|knee|ni:|колено
|search|sɜ:ʧ|поиски, искать
|company|ˈkʌmpnɪ|компания
|eight|eɪt|восемь
|block|blɒk|глыба, квартал (города), блокировать
|save|seɪv|спасать, экономить
|smell|smel|(smelt, smelt [smelt]) нюхать, пахнуть, запах
|track|træk|след, тропинка, колея ж/д, следить (за)
|weapon|ˈwepn|оружие
|horse|hɔ:s|лошадь, конь
|apartment|əˈpɑ:tmnt|комната, квартира
|reveal|rɪˈvi:l|открывать, разоблачать, обнаруживать
