# 030 - Frequent Words

|certain|ˈsɜ:tn|определенный, уверенный, один, некий
|crash|kræʃ|грохот, крушение, рушиться с треском, разбиться
|quietly|ˈkwaɪətlɪ|спокойно
|shall|ʃæl|вспом. гл. в Future Ind., как модальный
|frame|freɪm|каркас, рама, кадр, составлять, формулировать
|island|ˈaɪlənd|остров
|store|stɔ:|магазин, склад, запасать
|food|fu:d|пища, еда
|bathroom|ˈbɑ:θru:m|ванная, туалет
|mom|mɒm|мама
|mirror|ˈmɪrə|зеркало
|plane|pleɪn|плоскость, самолет, плоский
|shape|ʃeɪp|форма, вид, образ, придавать/принимать форму
|sigh|saɪ|вздох, вздыхать
|throat|θrəʊt|горло
|fade|feɪd|вянуть, блекнуть
|important|ɪmˈpɔ:tnt|важный
|main|meɪn|основной, главный
|sometimes|ˈsʌmtaɪmz|иногда
|ball|bɔ:l|шар, мяч
|tie|taɪ|лента, галстук, связывать
|crack|kræk|треск, трещать
|dance|dɑ:ns|танец, танцы (вечеринка), танцевать
|engine|ˈenʤɪn|машина, мотор
|exit|ˈeksɪt|выход
