# 031 - Frequent Words

|itself|ɪtˈself|себя, сам
|letter|ˈletə|буква, письмо
|bear|beə|медведь, (bore [bɔ:], borne [bɔ:n] - носить
|board|bɔ:d|доска, борт (судна, самолета), посадка на борт
|join|ʤɔɪn|соединять(ся)
|shock|ʃɒk|удар, потрясать
|everybody|ˈevrɪbɒdɪ|все
|add|æd|прибавлять
|spin|spɪn|(spun [spʌn] , span [spæn], spun) вертеть(ся)
|ass|æs|зоол.-осел, дурак
|blade|bleɪd|лезвие
|yard|jɑ:d|двор, ярд (= 91,4 см)
|hello|həˈləʊ|привет!, алло!
|alive|əˈlaɪv|живой
|mine|maɪn|мой
|pack|pæk|пакет, тюк, упаковывать(ся), заполнять(ся)
|silent|ˈsaɪlənt|молчаливый
|teeth|ti:θ|(мн. ч. от tooth) зубы
|crazy|ˈkreɪzɪ|сумасшедший
|gate|ɡeɪt|ворота, калитка
|none|nʌn|никто, ничто, никакой, ни один, нисколько
|third|θɜ:d|третий
|wake|weɪk|(woke [wəʊk], woken [ˈwəʊkn]) просыпаться, будить
|age|eɪʤ|возраст, стареть
|truth|tru:θ|правда, истина
