# 032 - Frequent Words

|strong|strɒŋ|сильный, крепкий
|clock|klɒk|часы
|camera|ˈkæmrə|фото-, кинокамера
|image|ˈɪmɪʤ|образ, имидж
|noise|nɔɪz|шум
|marry|ˈmærɪ|женить(ся), выходить замуж
|wood|wʊd|дерево, лес, в знач. прилагат.: лесной, деревянный
|law|lɔ:|закон, право
|trust|trʌst|доверие, верить
|consider|kənˈsɪdə|рассматривать, обсуждать, полагать
|million|ˈmɪljən|миллион
|remove|rɪˈmu:v|удалять
|yell|jel|крик, кричать
|struggle|ˈstrʌɡl|борьба, бороться, биться, делать усилие
|promise|ˈprɒmɪs|обещание, обещать
|instead|ɪnˈstɛd |вместо, взамен
|among|əˈmʌŋ|среди
|tiny|ˈtaɪnɪ|крошечный
|slightly|ˈslaɪtlɪ|слегка, едва
|shop|ʃɒp|магазин
|hospital|ˈhɒspɪtl|больница
|Jesus|ˈʤi:zəs|воскл. боже!
|bend|bend|(bent, bent) гнуть(ся), сгибать(ся), наклонять(ся)
|count|kaʊnt|считать, счет, подсчет, граф
|cool|ku:l|прохладный
