# 033 - Frequent Words

|agree|əˈɡri:|соглашаться
|river|ˈrɪvə|река
|scare|skeə|пугать
|during|ˈdjʊərɪŋ|в течение
|information|ɪnfəˈmeɪʃn|информация, сведения, данные
|system|ˈsɪstəm|система
|surface|ˈsɜ:fɪs|поверхность
|service|ˈsɜ:vɪs|служба
|bridge|brɪʤ|мост
|attack|əˈtæk|нападение, нападать
|lawyer|ˈlɔ:jə|адвокат
|sing|sɪŋ|(sang [sæŋ], sung [sʌŋ]) петь
|motion|ˈməʊʃn|движение
|ray|reɪ|луч
|hill|hɪl|холм
|elevator|ˈelɪveɪtə|лифт
|twist|twɪst|изгиб, виться
|dry|draɪ|сухой, сушить(ся)
|thick|θɪk|толстый, густой
|chief|ʧi:f|глава, главный
|button|ˈbʌtn|пуговица, кнопка
|level|ˈlevl|уровень
|general|ˈʤenrl|общий, обычный, генерал
|flight|flaɪt|полет, рейс
|brain|breɪn|мозг, ум
