# 034 - Frequent Words

|page|peɪʤ|страница
|pour|pɔ:|лить(ся), наливать
|doorway|ˈdɔ:weɪ|дверной проем
|tall|tɔ:l|высокий
|jacket|ˈʤækɪt|куртка, пиджак
|bone|bəʊn|кость, останки
|sink|sɪŋk|(sank [sæŋk], sunk [sʌŋk]) тонуть, раковина
|gotta|ˈɡɒtə|(have) got to - должен, должна(…ны)
|circle|ˈsɜ:kl|круг, окружность, вращаться
|gaze|ɡeɪz|пристальный взгляд, уставиться
|soft|sɒft|мягкий, нежный
|drag|dræɡ|тащить(ся)
|desert|dɪˈzɜ:t|пустыня, пустынный, [dɪˈzɜ:t] покидать
|certainly|ˈsɜ:tnlɪ|конечно
|fish|fɪʃ|рыба, ловить рыбу
|beach|bi:ʧ|пляж, взморье
|single|ˈsɪŋɡl|один, единственный, отдельный, одинокий
|team|ti:m|команда, группа
|bottom|ˈbɒtəm|дно, низ
|secret|ˈsi:krɪt|секрет, тайна, секретный, тайный
|allow|əˈlaʊ|позволять
|immediately|ɪˈmi:dɪətlɪ|немедленно
|concern|kənˈsɜ:n|отношение, иметь отношение (к)
|husband|ˈhʌzbənd|муж
|burst|bɜ:st|(burst, burst) взрываться, вспышка
