# 035 - Frequent Words

|forty|ˈfɔ:tɪ|сорок
|sell|sel|(sold, sold) продавать
|leap|li:p|(leapt [lept], leaped [lept], leapt, leaped) прыгать
|pound|paʊnd|бить(ся), фунт (= 454г), фунт (стерлингов)
|escape|ɪˈskeɪp|побег, совершать побег, спастись, ускользать
|cloud|klaʊd|облако, туча, покрывать(ся) тучами
|rear|rɪə|задняя сторона, тыл
|gold|ɡəʊld|золото, золотой
|simply|ˈsɪmplɪ|просто
|message|ˈmesɪʤ|сообщение
|detective|dɪˈtektɪv|сыщик, детектив, детективный
|manage|ˈmænɪʤ|руководить
|creature|ˈkri:ʧə|создание,тварь
|themselves|ðmˈselvz|себя
|roof|ru:f|крыша
|inch|ɪn(t)ʃ|дюйм (= 2,54 см)
|dinner|ˈdɪnə|обед
|gesture|ˈʤesʧə|жест, жестикулировать
|army|ˈɑ:mɪ|армия
|switch|swɪʧ|переключение, выключатель, переключать
|nurse|nɜ:s|няня, сиделка, ухаживать
|expression|ɪkˈspreʃn|выражение
|yellow|ˈjeləʊ|желтый
|sergeant|ˈsɑ:ʤnt|сержант
|warm|wɔ:m|теплый, греть(ся)
