# 036 - Frequent Words

|roar|rɔ:|рев, грохот, реветь, грохотать
|club|klʌb|клуб
|pop|pɒp|хлопнуть, треснуть, сокр. от popular- популярный
|grand|ɡrænd|грандиозный, большой, важный, восхитительный
|bite|baɪt|(bit, bitten) кусать(ся), жалить, укус, кусок (пищи)
|coat|kəʊt|пальто
|size|saɪz|размер, величина, формат, определять величину
|however|haʊˈevə|как бы ни, однако, тем не менее
|cat|kæt|кот, кошка
|type|taɪp|тип, род, модедь, печатать на машинке
|thin|θɪn|тонкий, худой, редкий
|dozen|ˈdʌzn|дюжина
|crew|kru:|экипаж (судна и т.п.)
|present|ˈpreznt|присутствующий, подарок, [prɪˈzent] - дарить
|shoe|ʃu:|(полу)ботинок, туфля
|beer|bɪə|пиво
|doubt|daʊt|сомнение, сомневаться
|settle|ˈsetl|поселить(ся), устраивать(ся), улаживать, решать
|daughter|ˈdɔ:tə|дочь
|anybody|ˈenɪbɒdɪ|кто-нибудь, никто, любой
|grip|ɡrɪp|сжатие, хватка, схватывать(за), сжимать
|completely|kəmˈpli:tlɪ|совершенно, полностью
|nearly|ˈnɪəlɪ|почти, около
|pair|peə|пара
|nine|naɪn|девять
