# 037 - Frequent Words

|gather|ˈɡæðə|собирать(ся)
|bud|bʌd|сокр. от buddy приятель
|bird|bɜ:d|птица
|sister|ˈsɪstə|сестра
|special|ˈspeʃl|специальный
|hallway|ˈhɔ:lweɪ|прихожая
|base|beɪs|основа, база, основывать, базировать
|mountain|ˈmaʊntɪn|гора
|flat|flæt|квартира
|sweat|swet|пот, потеть
|gently|ˈdʒentlɪ|мягко, нежно
|spread|spred|(spread, spread) распространять(ся), расстилать(ся)
|wire|waɪə|проволока, провод, телеграмма, телеграфировать
|bullet|ˈbʊlɪt|пуля
|stretch|streʧ|растягивать(ся)
|master|ˈmɑ:stə|хозяин, мастер
|cell|sel|камера, карцер, ячейка
|counter|ˈkaʊntə|прилавок, противоположное, противостоять
|private|ˈpraɪvət|частный, личный, рядовой (воинск. звание)
|king|kɪŋ|король
|flame|fleɪm|пламя, сияние
|sick|sɪk|больной
|rip|rɪp|рвать(ся
|entrance|ˈentrns|вход
|sheet|ʃi:t|простыня, лист
