# 039 - Frequent Words

|buddy|ˈbʌdɪ|приятель
|excuse|ɪkˈskju:z|извинение, [ɪkˈskju:z] извинять
|frown|fraʊn|хмуриться
|tunnel|ˈtʌnl|тоннель
|fix|fɪks|закреплять, чинить
|hat|hæt|шляпа
|snow|snəʊ|снег
|planet|ˈplænɪt|планета
|glow|ɡləʊ|свет, сверкать
|double|ˈdʌbl|двойной, удваивать, вдвое
|recognize|ˈrekəɡnaɪz|узнавать
|sudden|ˈsʌdn|внезапный
|steel|sti:l|сталь, стальной
|worse|wɜ:s|худший, хуже
|wipe|waɪp|вытирать, утирать
|stupid|ˈstju:pɪd|глупый, тупой
|monitor|ˈmɒnɪtə|монитор, наставник, староста (класса), наставлять
|test|test|проверка, экзамен, испытывать
|square|skweə|квадрат, площадь, сквер, квадратный
|mention|ˈmenʃn|упоминание, упоминать, ссылаться на
|uniform|ˈju:nɪfɔ:m|форменная одежда, форменный, одевать в форму
|south|saʊθ|юг, южный, к югу, на юг(е)
|travel|ˈtrævl|путешествие, путешествовать
|mask|mɑ:sk|маска, маскировать
|fifteen|fɪfˈti:n|пятнадцать
