# 041 - Frequent Words

|situation|sɪtjʊˈeɪʃn|местоположение, ситуация
|trip|trɪp|поездка, путешествие
|ignore|ɪɡˈnɔ:|игнорировать
|lieutenant|lefˈtenənt|лейтенант
|enjoy|ɪnˈʤɔɪ|наслаждаться
|wing|wɪŋ|крыло, воен., спорт. фланг, край, филиал
|belt|belt|пояс, ремень
|gas|ɡæs|газ, амер. бензин
|sweep|swi:p|(swept, swept [swept]) мести, чистить, мчаться
|north|nɔ:θ|север, северный
|stage|steɪʤ|стадия, сцена
|bet|bet|(bet, bet) держать пари
|bother|ˈbɒðə|беспокойство, надоедать, беспокоить(ся)
|peer|pɪə|всматриваться
|poor|pɔ:|бедный, несчастный
|neither|ˈnaɪðə|ни один (из двух), ни тот, ни другой, также не
|barely|ˈbeəlɪ|только, едва, лишь
|rifle|ˈraɪfl|винтовка
|west|west|запад, западный
|row|rəʊ|ряд, этаж, гребля, грести, [raʊ] шум, гвалт, шуметь
|beam|bi:m|луч, сияние, сиять
|storm|stɔ:m|буря, шторм, штурм
|wound|wu:nd|рана, ранить
|plate|pleɪt|тарелка, пластинка
|share|ʃeə|часть, делить(ся)
