# 042 - Frequent Words

|shift|ʃɪft|смена, менять(ся)
|drug|drʌɡ|наркотик, лекарство
|date|deɪt|дата, число, назначать свидание
|plastic|ˈplæstɪk|пластмасса, пластичный, гибкий
|ghost|ɡəʊst|призрак, привидение
|pale|peɪl|бледный
|loose|lu:s|свободный, незакрепленный
|aside|əˈsaɪd|в стороне
|emerge|ɪˈmɜ:ʤ|появляться
|hesitate|ˈhezɪteɪt|колебаться, сомневаться, не решаться
|often|ˈɒfn|часто
|mistake|mɪˈsteɪk|(mistook [mɪsˈtuk], mistaken [mɪsˈteɪkn]) ошибаться
|bang|bæŋ|удар, ударить(ся)
|heat|hi:t|жара, нагревать(ся)
|bow|bəʊ|поклон, кланяться, [bəʊ] лук (оружие), смычок, бант
|list|lɪst|список, вносить в список
|movement|ˈmu:vmnt|движение
|complete|kəmˈpli:t|полный, законченный, заканчивать, завершать
|include|ɪnˈklu:d|включать, заключать в себе
|feed|fi:d|(fed, fed) кормить(ся), есть, питание
|blast|blɑ:st|взрыв, взрывать
|explode|ɪkˈspləʊd|взрывать(ся)
|bitch|bɪʧ|сука, ругат. стерва
|weight|weɪt|вес, тяжесть
|yours|jɔ:z|твой, ваш
