# 043 - Frequent Words

|address|əˈdres|адрес, адресовать, направлять
|church|ʧɜ:ʧ|церковь
|surround|səˈraʊnd|окружать
|pile|paɪl|куча, груда, складывать, громоздить
|worth|wɜ:θ|цена, стоимость, ценность, имеющий ценность
|attempt|əˈtem(p)t|попытка, покушение, пытаться
|nervous|ˈnɜ:vəs|нервный
|government|ˈɡʌvnˌmnt|правительство
|dawn|dɔ:n|рассвет
|trail|treɪl|след, выслеживать
|plant|plɑ:nt|растение, сажать (растения), завод, фабрика
|final|ˈfaɪnl|финал, последний
|passenger|ˈpæsɪnʤə|пассажир
|pool|pu:l|бассейн
|town|taʊn|город
|wash|wɒʃ|мыть(ся), умываться
|pace|peɪs|шаг, шагать
|smash|smæʃ|столкновение, гибель, крах, разбить(ся) вдребезги
|television|ˈtelɪvɪʒn|телевидение
|panic|ˈpænɪk|паника, панический, пугать, впадать в панику
|self|self|сам, pref- само-
|admit|ədˈmɪt|впускать, принимать, признавать
|directly|dɪˈrektlɪ|прямо, немедленно
|serve|sɜ:v|служить, обслуживать, состоять на службе
|map|mæp|карта (геогр.)
