# 048 - Frequent Words

|discover|dɪˈskʌvə|узнавать, обнаруживать, открывать
|wine|waɪn|вино
|gasp|ɡɑ:sp|задыхаться
|fail|feɪl|потерпеть неудачу, не суметь
|dive|daɪv|нырять, внезапное движение, рывок
|breathe|bri:ð|дышать
|moon|mu:n|луна
|dissolve|dɪˈzɒlv|растворять(ся)
|sex|seks|пол, секс, половой, сексуальный
|ace|eɪs|туз, ас, главный козырь, высшая оценка
|newspaper|ˈnju:zpeɪpə|газета
|twice|twaɪs|дважды, вдвое
|choose|ʧu:z|(chose [ʧəʊz], chosen [ˈʧəʊzn]) выбирать
|float|fləʊt|плавать (на поверхности), парить, плыть
|uncle|ˈʌŋkl|дядя
|aim|eɪm|цель, целиться
|public|ˈpʌblɪk|публика, общественный, публичный, народный
|section|ˈsekʃn|секция, отдел
|dangerous|ˈdeɪn(d)ʒrəs|опасный
|shine|ʃaɪn|блеск, свет, (shone, shone [ʃɒn]) сиять, блестеть
|gentleman|ˈʤentlmən|джентльмен, господин, (мн. ч. gentlemen)
|song|sɒŋ|песня
|effect|ɪˈfekt|результат
|nearby|ˈnɪəbaɪ|близлежащий, соседний, поблизости, рядом
|flower|ˈflaʊə|цветок
