# 050 - Frequent Words

|wooden|ˈwʊdn|деревянный
|leather|ˈleðə|кожа (выделанная)
|slap|slæp|хлопать, шлепать
|purpose|ˈpɜ:pəs|цель, намерение
|band|bænd|лента, полоска, группа (людей), банда, оркестр
|tough|tʌf|жесткий, стойкий
|vehicle|ˈvi:ɪkl|любое средство передвижения (автомобиль и т.п.)
|focus|ˈfəʊkəs|фокус, перен. центр, фокусировать, сосредотачивать
|usually|ˈju:ʒʊəlɪ|обычно
|video|ˈvɪdɪəʊ|видео
|luck|lʌk|удача, счастье
|iron|ˈaɪən|железо, железный
|effort|ˈefət|усилие, попытка
|duty|ˈdju:tɪ|долг, пошлина
|chick|ʧɪk|цыпленок, птенец, chicken [ˈʧɪkɪn] цыпленок)
|waste|weɪst|бесполезная трата, потери, тратить зря
|fresh|freʃ|свежий, новый, чистый
|glare|ɡleə|ослепительный свет, свирепый взгляд
|swear|sweə|(swore [swɔ:], sworn [swɔ:n]) клясться, ругать(ся)
|beauty|ˈbju:tɪ|красота, красавица
|tongue|tʌŋ|язык
|fun|fʌn|веселье, забава, шутка
|cable|ˈkeɪbl|канат, трос, кабель
|backward|ˈbækwəd|обратный, отсталый, (тж. ~s) назад, наоборот
|honour|ˈɒnə|честь, слава, почет, почитать
