# 051 - Frequent Words

|cash|kæʃ|наличные деньги
|alien|ˈeɪlɪən|чужестранец, иностранец, чужестранный, чуждый
|detail|ˈdi:teɪl|подробность, деталь
|lab|læb|лаборатория, сокр. от laboratory [ləˈbɒrətrɪ]
|director|dɪˈrektə|директор
|hardly|ˈhɑ:dlɪ|едва, едва ли
|clerk|klɑ:k|клерк, служащий
|fence|fens|забор, изгородь, огораживать
|crime|kraɪm|преступление
|strip|strɪp|полоска, лента, сдирать, раздевать(ся), снимать
|familiar|fəˈmɪlɪə|знакомый
|local|ˈləʊkl|местный
|price|praɪs|цена
|signal|ˈsɪɡnl|сигнал, знак, сигнализировать
|giant|ˈʤaɪənt|великан, гигант, титан, громадный, гигантский
|chain|ʧeɪn|цепь, цепочка, узы, последовательность, сковывать
|smart|smɑ:t|толковый, умный
|various|ˈveərɪəs|различный
|pants|pænts|брюки, трусы
|opposite|ˈɒpəzɪt|противоположный, напротив
|breathing|ˈbri:ðɪŋ|дыхание
|object|ˈɒbʤɪkt|предмет, вещь, цель, [əbˈʤekt] возражать
|grass|ɡrɑ:s|трава
|apparently|əˈpærəntlɪ|очевидно
|lobby|ˈlɒbɪ|прихожая, кулуары
