# 053 - Frequent Words

|forest|ˈfɒrɪst|лес
|camp|kæmp|лагерь
|snake|sneɪk|змея
|echo|ˈekəʊ|эхо, отражение, отражаться, вторить
|partner|ˈpɑ:tnə|партнер
|military|ˈmɪlɪtrɪ|военный
|client|ˈklaɪənt|клиент
|everywhere|ˈevrɪweə|везде, (по)всюду
|skull|skʌl|череп, голова
|exchange|ɪksˈʧeɪnʤ|обмен, менять(ся)
|programme|ˈprəʊɡræm|программа, план, планировать
|usual|ˈju:ʒʊəl|обыкновенный
|restaurant|ˈrestrɒnt|ресторан
|equipment|ɪˈkwɪpmnt|снаряжение, оборудование
|hug|hʌɡ|крепкое объятие, крепко обнимать
|difficult|ˈdɪfɪklt|трудный
|till|tɪl|до, в отриц. предл. не раньше, (до тех пор) пока
|buck|bʌk|доллар и др.
|react|rɪˈækt|реагировать
|rich|rɪʧ|богатый, плодородный
|swallow|ˈswɒləʊ|ласточка, глоток, глотать
|curtain|ˈkɜ:tn|занавеска, занавес, занавешивать
|bury|ˈberɪ|хоронить, зарывать
|stream|stri:m|поток, течение, ручей, течь, вытекать, струиться
|president|ˈprezɪdnt|президент
