# 055 - Frequent Words

|instant|ˈɪnstnt|мгновение, немедленный, растворимый
|airport|ˈeəpɔ:t|аэропорт
|cast|kɑ:st|(cast, cast) бросать, кидать, лить, отливать (металл)
|indeed|ɪnˈdi:d|в самом деле
|claim|kleɪm|требование, утверждение, требовать, заявлять
|target|ˈtɑ:ɡɪt|цель, мишень
|pin|pɪn|булавка, брошка, скреплять, прикалывать
|respect|rɪˈspekt|уважение, отношение, уважать
|art|ɑ:t|искусство
|easily|ˈi:zɪlɪ|легко, без труда
|attorney|əˈtɜ:nɪ|адвокат, юрист
|fair|feə|прекрасный, чистый, белокурый, честный, справедливый
|muscle|ˈmʌsl|мышца, мускл
|horror|ˈhɒrə|ужас
|bare|beə|голый, обнаженный
|beast|bi:st|зверь, животное
|pleasure|ˈpleʒə|удовольствие
|puzzle|ˈpʌzl|вопрос, ставящий в тупик, загадка, озадачивать, смущать
|grave|ɡreɪv|могила, серьезный, важный
|trace|treɪs|след, прослеживать
|excite|ɪkˈsaɪt|возбуждать, волновать
|length|leŋθ|длина
|mount|maʊnt|холм, гора
|risk|rɪsk|риск, рисковать
|ocean|ˈəʊʃn|океан
