# 056 - Frequent Words

|energy|ˈenəʤɪ|энергия, мощность
|amaze|əˈmeɪz|изумлять, поражать
|envelope|ˈenvələʊp|обертывать, окутывать, n [ˈenvɪləʊp] оболочка
|contain|kənˈteɪn|вмещать
|audience|ˈɔ:dɪəns|публика, зрители
|stumble|ˈstʌmbl|спотыкаться, запинаться
|leader|ˈli:də|руководитель, лидер
|difference|ˈdɪfrns|разница
|barrel|ˈbærl|бочка, баррель (= 159 л.)
|wonderful|ˈwʌndəfʊl|удивительный, замечательный
|daemon|ˈdi:mən|demon демон, сатана, дьявол, дух
|besides|bɪˈsaɪdz|кроме, кроме того
|dirt|dɜ:t|грязь
|accident|ˈæksɪdnt|случай, авария
|steady|ˈstedɪ|твердый, устойчивый, делать(ся) устойчивым
|interior|ɪnˈtɪɜ:rɪə|внутренность, внутренний
|mission|ˈmɪʃn|миссия, делегация, призвание, поручение
|victim|ˈvɪktɪm|жертва
|absolutely|ˈæbsəlu:tlɪ|абсолютно, совершенно
|patient|ˈpeɪʃnt|пациент, больной, терпеливый
|occur|əˈkɜ:|случаться, приходить на ум
|alright|ɔ:lˈraɪt|all right удовлетворительный, ладно!, согласен!
|receive|rɪˈsi:v|получать
|split|splɪt|(split, split) раскалывать(ся), трещина, щель
|practice|ˈpræktɪs|тренировка, practise упражнять(ся)
