# 060 - Frequent Words

|electric|ɪˈlɛktrɪk|электрический
|bug|bʌɡ|жук, насекомое, вести тайн наблюд.
|lap|læp|колени, жадно пить, лакать
|rail|reɪl|ограда, перила, поручень, рельс, ж/д дорога
|sixty|ˈsɪkstɪ|шестьдесят
|porch|pɔ:ʧ|крыльцо, веранда
|screw|skru:|винт и др., завинчивать, вращать, выжимать и др.
|cliff|klɪf|(отвесная) скала, утес
|pump|pʌmp|насос, накачивать, качать, выталкивать
|design|dɪˈzaɪn|замысел, проект, план, задумывать, проектировать
|response|rɪˈspɒns|ответ, отклик
|fellow|ˈfeləʊ|парень, приятель
|supply|səˈplaɪ|снабжение, запас, снабжать, поставлять
|mill|mɪl|мельница, фабрика
|alley|ˈælɪ|узкая улица, аллея
|style|staɪl|стиль, менера, мода
|tube|tju:b|труба, тюбик, метро (в Лондоне)
|bowl|bəʊl|миска, кубок, ваза, шар (в играх)
|orange|ˈɒrɪn(d)ʒ|апельсин, оранжевый
|perfectly|ˈpɜ:fɪk(t)lɪ|совершенно, вполне, превосходно
|shotgun|ˈʃɒtɡʌn|пулемет
|necessary|ˈnesəsrɪ|необходимый
|pink|pɪŋk|розовый
|obvious|ˈɒbvɪəs|очевидный, явный
|village|ˈvɪlɪʤ|поселок, деревня
