# 062 - Frequent Words

|manner|ˈmænə|способ, манера
|yesterday|ˈjestədeɪ|вчера
|produce|prəˈdju:s|производить
|hood|hʊd|капюшон, чехол, капот
|cost|kɒst|(cost, cost) стоить, цена, стоимость
|nail|neɪl|гвоздь, забивать гвозди, прибивать гвоздями
|discuss|dɪˈskʌs|обсуждать
|shell|ʃel|раковина, оболочка
|whistle|ˈwɪsl|свист, свистеть
|dock|dɒk|док, вводить в док, скамья подсудимых
|feature|ˈfi:ʧə|особенность, ~s черты лица, быть характ. чертой
|dine|daɪn|обедать
|buzz|bʌz|жужжание, гул (голосов), жужжать, гудеть
|heaven|ˈhevn|~(s) небо, небеса, боже!, черт возьми!
|upset|ʌpˈset|(upset, upset) расстраивать, огорчать, расстроенный
|steam|sti:m|пар, запотевать
|bunch|bʌn(t)ʃ|связка, пучок, букет, гроздь, собирать, связывать
|basement|ˈbeɪsmnt|основание, подвал, (полу)подвальный этаж
|junior|ˈʤu:nɪə|младший
|scar|skɑ:|шрам, рубец, оставлять шрамы
|bleed|bli:d|(bled, bled) кровоточить
|nature|ˈneɪʧə|природа, натура
|curve|kɜ:v|кривая (линия), изгиб, поворот, изгибать(ся)
|official|əˈfɪʃl|чиновник, служебный, официальный
|taxi|ˈtæksɪ|такси
