# 066 - Frequent Words

|entirely|ɪnˈtaɪəlɪ|полностью, совершенно
|shield|ʃi:ld|щит, перен. защита, прикрывать, защищать
|marine|məˈri:n|мор. флот, солдат мор. пех., морской
|overhead|əʊvəˈhed|наверху, над головой
|solid|ˈsɒlɪd|твердый, прочный
|sail|seɪl|парус, плыть (на кораб.), парить (в возд.)
|stagger|ˈstæɡə|шататься
|elbow|ˈelbəʊ|локоть, (резкий) изгиб (реки, дороги), подлокотник
|pit|pɪt|яма, котлован, окоп, рыть, делать ямы
|needle|ˈni:dl|игла, иголка
|mister|ˈmɪstə|мистер, господин
|eleven|ɪˈlevn|одиннадцать
|platform|ˈplætfɔ:m|платформа, перрон, помост, сцена
|mostly|ˈməʊs(t)lɪ|главным образом
|rapidly|ˈræpɪdlɪ|быстро
|egg|eɡ|яйцо
|dare|deə|сметь, отваживаться
|owner|ˈəʊnə|владелец, хозяин
|suffer|ˈsʌfə|страдать
|hammer|ˈhæmə|молоток, вбивать, прибивать, колотить
|thunder|ˈθʌndə|гром, греметь
|corpse|kɔ:ps|труп
|stroke|strəʊk|удар, взмах, гладить, поглаживать
|heavily|ˈhevɪlɪ|тяжело, сильно
|clip|klɪp|зажим, скрепка, зажимать, скреплять
