# 067 - Frequent Words

|total|ˈtəʊtl|целое, сумма, общий
|helmet|ˈhelmɪt|шлем, каска
|bench|ben(t)ʃ|скамейка
|source|sɔ:s|источник, начало
|scatter|ˈskætə|разбрасывать
|eventually|ɪˈvenʧuəlɪ|в конечном счете, в конце концов
|spray|spreɪ|ветка, побег, брызги, распылитель, обрызгивать
|trade|treɪd|торговля, торговать
|mix|mɪks|смешивать(ся)
|descend|dɪˈsend|спускаться, опускаться, понижаться, переходить
|sonny|ˈsʌnɪ|сынок
|boom|bu:m|гул, рокот, быстро расти
|crush|krʌʃ|раздавить, (с)мять, сокрушить, уничтожить
|relief|rɪˈli:f|облегчение, помощь
|senator|ˈsenətə|сенатор
|trigger|ˈtrɪɡə|защелка, спусковой крючок, курок, механизм
|insist|ɪnˈsɪst|настаивать
|deliver|dɪˈlɪvə|доставлять, передавать, вручать
|conference|ˈkɒnfrns|конференция, совещание
|terror|ˈterə|ужас, страх, террор
|jar|ʤɑ:|резкий звук, дребезжание, дребезжать, банка
|argue|ˈɑ:ɡju:|спорить, утверждать, доказывать
|require|rɪˈkwaɪə|требовать(ся)
|worst|wɜ:st|наихудший, хуже всего, наихудшее
|recall|rɪˈkɔ:l|вспоминать, отзывать
