# 070 - Frequent Words

|mail|meɪl|почта, посылать по почте
|briefly|ˈbri:flɪ|кратко
|spirit|ˈspɪrɪt|дух, душа, натура
|nowhere|ˈnəʊweə|нигде, никуда
|holy|ˈhəʊlɪ|святой, священный
|thrust|θrʌst|(thrust, thrust) толкать, тыкать, просовывать, толчок
|operate|ˈɒpəreɪt|работать, действовать, управлять
|otherwise|ˈʌðəwaɪz|иначе
|current|ˈkʌrnt|струя, течение, ход, ток (электр.), текущий
|groan|ɡrəʊn|стон, стонать
|stain|steɪn|пятно, позорящ. факт, пятнать, пачкать(ся), позорить
|horn|hɔ:n|рог, горн, рупор
|rocky|ˈrɒkɪ|скалистый
|admiral|ˈædmrl|адмирал
|diamond|ˈdaɪəmənd|алмаз
|cock|kɒk|петух, заводила, взведенный курок, поднимать
|waist|weɪst|талия
|merely|ˈmɪəlɪ|только, просто
|chuckle|ˈʧʌkl|хихикать
|despite|dɪˈspaɪt|несмотря на, вопреки, злоба, уст. оскорблять
|concrete|ˈkɒŋkri:t|конкретный, бетон
|chip|ʧɪp|щепка, стружка, обломок, откалывать, строгать
|common|ˈkɒmən|общий, общепринятый, простой, обыкновенный
|magic|ˈmæʤɪk|волшебный
|folk|fəʊk|(чаще folks) люди, народ, родня, родные, друзья
