# 072 - Frequent Words

|worker|ˈwɜ:kə|рабочий
|sunlight|ˈsʌnlaɪt|солнечный свет
|jail|ʤeɪl|тюрьма
|bride|braɪd|невеста
|plenty|ˈplentɪ|(из)обилие
|grunt|ɡrʌnt|хрюканье, ворчание, хрюкать, ворчать, бурчать
|proud|praʊd|гордый
|adjust|əˈʤʌst|приводить в порядок, улаживать, приспосабливать
|gift|ɡɪft|подарок, дар
|satisfy|ˈsætɪsfaɪ|удовлетворять, доставлять удовольствие
|grasp|ɡrɑ:sp|хватка, понима ние, схватывать, охватить, понять
|angel|ˈeɪnʤl|ангел
|Christmas|ˈkrɪsməs|Рождество
|owe|əʊ|задолжать, быть должным, обязанным
|guide|ɡaɪd|проводник, гид, путеводитель, направлять
|disturb|dɪˈstɜ:b|беспокоить, мешать,
|reflect|rɪˈflekt|отражать(ся)
|united|juˈnaɪtɪd|соединенный
|willing|ˈwɪlɪŋ|готовый (сделать что-л.), охотно делающий
|title|ˈtaɪtl|заглавие, название
|blame|bleɪm|вина, упрек, винить, порицать
|interview|ˈɪntəvju:|беседа, интервью, интервьюировать
|gut|ɡʌt|кишка, потрошить, опустошать, грабить
|howl|haʊl|вой, выть
|mouse|maʊs|мышь, (мн. ч. mice)
