# 073 - Frequent Words

|beg|beɡ|просить, умолять
|vast|vɑ:st|общирный, громадный
|cheap|ʧi:p|дешев ый, дешево
|bike|baɪk|велосипед
|model|ˈmɒdl|модель, образец
|impress|ɪmˈpres|отпеча тывать, производить впечатление, внушать
|gang|ɡæŋ|группа, бригада, банда
|automatic|ɔ:təˈmætɪk|автоматический
|haul|hɔ:l|тянуть, волочить, буксировать, перевозить
|patrol|pəˈtrəʊl|патруль, патрулировать
|lawn|lɔ:n|газон, лужайка
|criminal|ˈkrɪmɪnl|преступ ник, преступный, уголовный
|comfort|ˈkʌmfət|комфорт, утешение, утешать, успокаивать
|legal|ˈli:ɡl|законный, легальный
|ladder|ˈlædə|лестница (приставная), трап и др.
|physical|ˈfɪzɪkl|физический
|rate|reɪt|норма, скорость, разряд, оценивать
|rumble|ˈrʌmbl|грохот, греметь
|troop|tru:p|группа людей, отряд
|device|dɪˈvaɪs|устройство, механизм, прибор, способ, средство
|bark|bɑ:k|лай, лаять, рявкать
|comfortable|ˈkʌmftəbl|удобный
|mayor|meə|мэр
|hunt|hʌnt|охотиться, ловить
|joint|ʤɔɪnt|место соединения, стык, сустав, объединенный
