# 074 - Frequent Words

|provide|prəˈvaɪd|снабжать, обеспечивать
|tumble|ˈtʌmbl|падение, упасть, свалиться
|deeply|ˈdi:plɪ|глубоко, сильно
|snatch|snæʧ|хватать(ся), вырывать, выхватывать
|background|ˈbækɡraʊnd|задний план, фон, происхож дение, подготовка
|appreciate|əˈpri:ʃɪeɪt|ценить, высоко ставить, понимать ценность
|possibility|ˌpɒsɪˈbɪlɪtɪ|возможность
|whale|weɪl|кит, нечто выдающееся (по ве лич. или качеству)
|hunter|ˈhʌntə|охотник
|unlock|ʌnˈlɒk|отпирать
|monkey|ˈmʌŋkɪ|обезьяна
|fourth|fɔ:θ|четвертый
|receiver|rɪˈsi:və|получатель, (радио)приемник, телеф. трубка
|nerve|nɜ:v|нерв, нервозность, наглость, нахальство
|hip|hɪp|бедро
|pot|pɒt|горшок, кастрюля, банка, консервировать
|launch|lɔ:n(t)ʃ|предпринимать, запускать
|joy|ʤɔɪ|радость, веселье
|authority|ɔ:ˈθɒrɪtɪ|власть, ~s власти, авторитет
|Sunday|ˈsʌndeɪ|воскресенье
|shade|ʃeɪd|тень, оттенок, абажур, затемнять, за слонять
|gain|ɡeɪn|прибыль, выигрыш, приобретать
|motel|məʊˈtel|мотель
|string|strɪŋ|веревка, струна, ряд
|widen|ˈwaɪdn|расширять(ся)
