# 075 - Frequent Words

|jaw|ʤɔ:|челюсть, ~s рот, пасть
|briefcase|ˈbri:fkeɪs|портфель
|choke|ʧəʊk|удушье, душить, поперхнуться
|metre|ˈmi:tə|метр, счетчик, измеритель
|hum|hʌm|жужжание, гудение, жужжать, гудеть
|meat|mi:t|мясо, пища
|brick|brɪk|кирпич, кирпичный
|identify|aɪˈdentɪfaɪ|отождествлять, опознавать
|recover|rɪˈkʌvə|обретать снова, выздоравливать
|bush|bʊʃ|куст, кустарник
|drain|dreɪn|дренаж, водосток, осущать, истощать
|abandon|əˈbændn|оставлять, покидать
|clothing|ˈkləʊðɪŋ|одежда, платье
|fry|fraɪ|жарить
|protest|ˈprəʊtest|протестовать, [ˈprəʊtest] протест
|bump|bʌmp|столкновение, удар, шишка, ударяться, налетать
|original|əˈrɪʤɪnl|оригинал, первоначальный, подлинный
|professor|prəˈfesə|профессор
|museum|mju:ˈzɪəm|музей
|connection|kəˈnekʃn|соединение
|content|kənˈtent|содержание, [kənˈtent] удовлетворение
|lane|leɪn|дорожка, переулок, проход между рядами
|licence|ˈlaɪsns|разрешение, лицензия, разрешать
|particularly|pəˈtɪkjʊləlɪ|особенно
|county|ˈkaʊntɪ|округ (амер.), графство (брит.)
